t,i,j,readers
1499752840,557,708,"['005', '036', '082']"
1499753480,579,708,"['005', '036', '082', '305']"
1499753660,579,1482,"['005', '011', '036']"
1499753660,737,1482,"['005', '011', '036']"
1499753700,500,579,"['011', '036', '082', '154']"
1499753700,557,1482,"['005', '036']"
1499753700,579,1482,"['011', '036', '082', '154']"
1499753720,500,1482,"['005', '036', '305']"
1499753720,557,1482,"['005', '036', '305']"
1499753720,579,1482,"['005', '036', '305']"
1499753760,500,579,['036']
1499753760,512,579,['036']
1499753760,579,1482,['036']
1499753840,557,1482,"['005', '011', '036', '082']"
1499753900,737,1482,['036']
1499753960,500,1482,"['005', '036']"
1499753960,737,1482,"['005', '036']"
1499754120,579,737,"['005', '036']"
1499754120,579,1482,"['005', '036']"
1499754140,500,1482,['036']
1499754140,579,737,"['005', '036']"
1499754140,737,1482,"['005', '036']"
1499754160,500,1482,"['005', '036']"
1499754160,579,1482,"['005', '036']"
1499754180,500,579,"['005', '036']"
1499754180,579,1482,"['005', '036']"
1499754200,737,1482,"['005', '036']"
1499754260,500,579,"['005', '036']"
1499754320,500,579,"['015', '078']"
1499754360,500,579,"['015', '078']"
1499754440,500,579,"['015', '078']"
1499754640,500,579,['016']
1499754700,500,579,['016']
1499754700,737,1482,"['005', '036']"
1499755140,512,719,"['005', '036']"
1499755180,87,1053,"['036', '305']"
1499755200,87,1053,"['005', '036']"
1499755200,87,1482,"['005', '036', '082', '305']"
1499755200,1053,1482,"['005', '036', '082', '305']"
1499755220,318,557,"['015', '078']"
1499755220,557,708,"['015', '078']"
1499755240,87,1053,"['036', '305']"
1499755260,87,1053,"['005', '036']"
1499755300,87,1053,"['005', '036']"
1499755300,719,1076,['036']
1499755320,87,1053,"['005', '036']"
1499755360,87,1053,"['036', '305']"
1499755380,87,1053,"['005', '036']"
1499755400,719,1076,"['036', '305']"
1499755420,87,1053,"['036', '305']"
1499755440,87,1053,"['005', '036']"
1499755480,87,1053,['036']
1499755500,87,1053,"['005', '036']"
1499755520,500,579,['014']
1499755540,87,1053,"['036', '305']"
1499755540,318,557,"['015', '078']"
1499755560,87,1053,['036']
1499755560,719,1076,"['005', '036', '305']"
1499755580,318,557,['078']
1499755580,500,1482,"['005', '036', '082', '305']"
1499755620,87,1053,['036']
1499755660,557,1076,"['036', '305']"
1499755680,87,1053,['036']
1499755680,557,1076,"['011', '036', '305']"
1499755680,1076,1482,"['011', '036', '305']"
1499755740,737,1482,['036']
1499755840,579,1053,['036']
1499755840,708,719,"['005', '036']"
1499755860,512,719,"['005', '011', '036', '305']"
1499755920,318,334,"['036', '305']"
1499755920,500,512,"['005', '036', '154', '305']"
1499755920,512,1076,"['005', '036', '154', '305']"
1499755960,579,710,['036']
1499755960,710,1053,['036']
1499755980,500,512,"['005', '036']"
1499755980,579,1053,"['005', '036', '082']"
1499755980,710,1053,"['005', '036', '082']"
1499756040,500,719,"['005', '036']"
1499756040,512,719,"['005', '036', '154', '305']"
1499756040,557,708,"['015', '078']"
1499756040,579,1053,"['005', '036']"
1499756080,242,1076,"['036', '305']"
1499756080,710,1076,"['036', '305']"
1499756100,318,557,"['015', '078']"
1499756100,318,708,"['015', '078']"
1499756100,557,708,"['015', '078']"
1499756120,447,500,"['005', '011', '036']"
1499756140,318,557,"['015', '078']"
1499756140,318,708,"['015', '078']"
1499756140,500,1076,"['005', '036', '154', '305']"
1499756140,710,1053,"['005', '011', '036', '305']"
1499756160,318,557,"['015', '078']"
1499756160,318,708,"['015', '078']"
1499756160,557,708,"['015', '078']"
1499756200,318,557,"['015', '078']"
1499756200,318,708,"['015', '078']"
1499756220,234,242,"['005', '015', '036', '305']"
1499756220,318,557,"['015', '078']"
1499756220,318,708,"['015', '078']"
1499756220,557,708,"['015', '078']"
1499756240,334,1076,"['005', '011', '036', '305']"
1499756240,579,1053,"['005', '036']"
1499756240,1053,1076,"['005', '036']"
1499756260,500,737,['036']
1499756280,318,557,"['015', '078']"
1499756280,318,708,"['015', '078']"
1499756280,557,708,"['015', '078']"
1499756320,579,710,"['005', '036']"
1499756320,710,1482,"['005', '036']"
1499756340,318,557,"['015', '078']"
1499756340,557,708,"['015', '078']"
1499756360,579,1053,['036']
1499756360,710,737,"['005', '036']"
1499756360,710,1076,"['005', '036', '305']"
1499756380,579,1079,"['005', '036', '154', '305']"
1499756380,710,1079,"['005', '036', '154', '305']"
1499756380,737,1079,"['005', '036', '154', '305']"
1499756380,1053,1079,"['005', '036', '154', '305']"
1499756380,1076,1079,"['005', '036', '154', '305']"
1499756400,1076,1080,['036']
1499756420,579,1053,"['005', '036']"
1499756420,710,1053,"['005', '036']"
1499756420,737,1079,"['005', '036']"
1499756440,579,1079,['154']
1499756460,318,557,"['015', '078']"
1499756460,1053,1076,['036']
1499756480,579,1053,"['005', '036', '305']"
1499756480,1053,1076,"['005', '036', '305']"
1499756500,579,737,"['005', '036', '082']"
1499756500,579,1053,"['005', '036', '082']"
1499756500,579,1076,"['005', '036', '082']"
1499756520,318,557,"['015', '078']"
1499756520,441,1482,"['036', '082']"
1499756520,1053,1076,"['036', '305']"
1499756540,242,447,"['005', '036']"
1499756560,579,710,"['036', '082', '305']"
1499756560,710,1482,"['036', '082', '305']"
1499756580,318,557,"['015', '078']"
1499756580,334,1482,"['005', '011', '036', '305']"
1499756580,441,1482,"['005', '011', '036', '305']"
1499756580,579,797,"['005', '036', '305']"
1499756580,579,1053,"['005', '036', '305']"
1499756580,579,1482,"['005', '011', '036', '305']"
1499756580,737,1053,"['005', '036', '305']"
1499756580,797,1053,"['005', '036', '305']"
1499756580,1053,1076,"['005', '036', '305']"
1499756600,500,737,"['005', '036', '305']"
1499756620,1076,1551,['036']
1499756640,334,1551,['036']
1499756640,441,1482,"['005', '011', '015']"
1499756640,1053,1617,"['005', '036']"
1499756640,1076,1551,['036']
1499756660,318,557,"['015', '078']"
1499756660,579,710,"['005', '011', '036']"
1499756660,579,1076,"['005', '011', '036']"
1499756660,579,1745,"['005', '011', '036']"
1499756680,579,1076,"['011', '036']"
1499756680,710,1076,"['011', '036']"
1499756700,512,1079,"['005', '011', '036', '154', '305']"
1499756720,500,581,"['036', '305']"
1499756720,579,1076,"['005', '036']"
1499756780,579,737,"['011', '036', '082']"
1499756780,579,1482,"['005', '011', '036', '082', '305']"
1499756800,209,1464,"['005', '036', '305']"
1499756800,579,1053,['036']
1499756800,710,1053,['036']
1499756800,1053,1076,"['011', '036', '305']"
1499756820,209,1464,"['036', '305']"
1499756840,579,1053,"['005', '036', '082']"
1499756860,579,1053,"['005', '036', '154']"
1499756860,710,1053,"['005', '036', '154']"
1499756880,209,1464,"['005', '036', '305']"
1499756900,579,737,['036']
1499756920,209,1464,"['005', '036', '305']"
1499756920,500,1076,"['005', '036', '305']"
1499756980,209,1464,"['005', '036']"
1499757000,209,1464,"['005', '036', '305']"
1499757000,512,1079,"['005', '036', '305']"
1499757000,579,710,['036']
1499757040,15,500,"['005', '036']"
1499757040,209,1464,"['005', '036', '305']"
1499757100,334,557,['078']
1499757100,500,579,"['005', '036', '305']"
1499757120,318,708,"['015', '078']"
1499757120,500,710,"['036', '082']"
1499757140,512,1079,"['005', '011', '036', '082']"
1499757160,8,1482,"['036', '305']"
1499757200,318,334,"['015', '078']"
1499757200,579,1617,"['005', '011', '036', '082', '154']"
1499757200,710,1617,"['005', '011', '036', '082', '154']"
1499757200,1551,1617,"['005', '011', '036', '082', '154']"
1499757240,579,710,"['005', '036', '082', '154']"
1499757340,192,1392,['154']
1499757360,579,710,"['005', '036', '305']"
1499757360,710,1076,"['005', '036', '305']"
1499757360,1053,1079,['036']
1499757380,209,1464,"['005', '036', '305']"
1499757380,318,334,"['015', '078']"
1499757380,557,708,"['015', '078']"
1499757400,192,1392,['154']
1499757400,579,1076,"['036', '154']"
1499757400,710,1076,"['036', '154']"
1499757400,1053,1079,"['005', '036', '305']"
1499757420,45,710,"['005', '036', '305']"
1499757420,209,1464,"['005', '036', '154', '305']"
1499757420,512,1053,"['005', '036']"
1499757420,579,710,"['005', '036', '305']"
1499757420,710,1076,"['005', '036', '305']"
1499757420,1053,1079,"['005', '036']"
1499757440,318,334,"['015', '078']"
1499757440,557,708,"['015', '078']"
1499757460,500,579,"['005', '036', '305']"
1499757460,500,710,"['005', '036', '305']"
1499757460,500,1076,"['005', '036', '305']"
1499757460,579,1076,"['005', '036', '305']"
1499757460,710,1076,"['005', '036', '305']"
1499757460,1053,1079,"['005', '011', '036', '082']"
1499757480,500,579,"['005', '011', '036']"
1499757480,500,710,"['005', '036', '305']"
1499757480,579,710,"['005', '011', '036', '305']"
1499757480,579,1076,"['005', '011', '036']"
1499757480,710,1076,"['005', '036', '305']"
1499757480,1053,1079,"['005', '036']"
1499757500,45,1312,"['005', '036']"
1499757500,209,1464,"['005', '036']"
1499757520,500,579,"['005', '036', '305']"
1499757520,710,1076,"['005', '036', '305']"
1499757520,1053,1076,"['005', '036', '305']"
1499757520,1076,1482,"['005', '036', '305']"
1499757540,209,1464,"['005', '036', '305']"
1499757540,500,579,"['005', '011', '036', '305']"
1499757540,557,708,"['015', '078']"
1499757540,557,1482,"['015', '078']"
1499757540,710,1076,"['005', '036']"
1499757560,45,1312,['036']
1499757560,209,1464,"['005', '011', '036', '305']"
1499757580,579,737,['154']
1499757580,579,1053,['154']
1499757600,209,1464,"['005', '011', '036']"
1499757600,242,998,"['005', '036', '305']"
1499757600,487,998,"['005', '036', '305']"
1499757600,579,737,['036']
1499757620,209,1464,"['005', '036']"
1499757640,18,500,"['036', '305']"
1499757640,487,1159,"['005', '036']"
1499757660,18,500,"['005', '036', '305']"
1499757660,209,1464,"['005', '036', '082', '305']"
1499757660,242,797,"['005', '036']"
1499757660,487,797,"['005', '036']"
1499757660,797,998,"['005', '036', '082']"
1499757660,797,1159,"['005', '036']"
1499757660,998,1159,"['005', '036', '082']"
1499757700,45,1312,"['036', '305']"
1499757700,500,579,"['005', '036', '305']"
1499757700,1053,1212,"['005', '036', '305']"
1499757720,209,1464,"['005', '036']"
1499757720,710,1482,"['005', '036', '082', '305']"
1499757720,1076,1079,"['011', '036', '305']"
1499757740,209,1464,"['005', '011', '036', '305']"
1499757760,45,1312,"['005', '011', '036', '305']"
1499757760,45,1464,"['005', '011', '036', '305']"
1499757760,487,797,"['005', '036', '154', '305']"
1499757760,487,998,"['005', '036', '154', '305']"
1499757760,500,579,"['005', '011', '036', '305']"
1499757780,18,797,"['005', '036', '305']"
1499757780,18,998,"['005', '036', '305']"
1499757780,209,1464,"['005', '036', '305']"
1499757780,487,797,"['005', '036', '305']"
1499757780,487,998,"['005', '036', '305']"
1499757780,797,998,"['005', '036', '305']"
1499757800,209,1464,"['005', '011', '036', '305']"
1499757800,557,1482,"['005', '036']"
1499757800,579,1887,"['005', '036', '154']"
1499757820,45,1312,"['036', '305']"
1499757840,500,710,"['011', '036']"
1499757840,797,998,"['005', '036', '305']"
1499757840,1076,1079,"['011', '015', '305']"
1499757860,209,1464,"['036', '305']"
1499757860,544,1392,"['005', '036', '082', '305']"
1499757880,8,1053,"['005', '011', '036', '305']"
1499757880,45,1312,"['036', '305']"
1499757880,487,998,['154']
1499757900,579,710,"['011', '036']"
1499757900,579,1076,"['005', '036', '305']"
1499757920,209,1464,"['005', '011', '036', '305']"
1499757920,500,735,"['005', '036', '305']"
1499757920,512,719,['036']
1499757940,8,1053,"['005', '011', '036', '154', '305']"
1499757940,487,998,['154']
1499757940,710,1735,"['005', '036']"
1499757980,18,234,"['005', '036']"
1499757980,234,797,"['005', '036']"
1499757980,512,719,"['005', '036']"
1499757980,1076,1202,"['005', '036']"
1499758000,1076,1202,"['005', '036', '305']"
1499758020,318,334,"['015', '078']"
1499758040,209,1464,['154']
1499758040,432,1482,"['005', '036']"
1499758040,512,719,"['005', '036', '305']"
1499758040,710,736,"['036', '305']"
1499758060,557,1076,"['005', '011', '036', '154']"
1499758060,1080,1159,"['005', '011', '036']"
1499758100,209,1464,"['005', '036', '305']"
1499758100,318,1202,"['005', '305']"
1499758120,737,1076,['036']
1499758160,209,334,"['005', '036', '305']"
1499758160,209,441,"['005', '036', '305']"
1499758160,209,1464,"['005', '036', '305']"
1499758160,512,1076,"['005', '036', '305']"
1499758160,1159,1202,"['005', '011', '036', '305']"
1499758180,209,1464,"['005', '011', '036', '078', '305']"
1499758180,251,1887,"['005', '036']"
1499758180,500,1076,"['005', '036', '154']"
1499758220,32,209,"['005', '011', '036', '305']"
1499758220,209,1464,"['005', '011', '036', '305']"
1499758220,710,1482,['036']
1499758220,1076,1622,"['005', '015', '036', '305']"
1499758220,1159,1202,"['005', '036', '154', '305']"
1499758220,1159,1401,"['005', '036', '154', '305']"
1499758220,1202,1401,['036']
1499758240,209,1464,"['005', '011', '036', '078', '305']"
1499758240,242,1822,['005']
1499758260,500,579,"['005', '036']"
1499758280,209,1464,"['036', '305']"
1499758280,1159,1202,"['005', '036', '305']"
1499758280,1202,1401,"['005', '036', '305']"
1499758300,97,1076,"['005', '036', '305']"
1499758300,209,1464,"['005', '305']"
1499758300,710,1482,"['036', '305']"
1499758320,97,1076,['036']
1499758320,500,1076,['036']
1499758340,97,1202,"['005', '036', '305']"
1499758340,209,1464,"['005', '036', '154', '305']"
1499758340,512,719,"['005', '036', '305']"
1499758340,1159,1202,"['005', '011', '036', '154', '305']"
1499758340,1159,1401,"['005', '011', '036', '154', '305']"
1499758340,1202,1401,"['005', '036', '305']"
1499758360,209,1464,"['005', '011', '036', '154']"
1499758360,251,1464,"['005', '011', '036', '154']"
1499758360,710,1482,"['005', '036']"
1499758380,1076,1818,"['005', '011', '036', '154']"
1499758400,97,1202,"['036', '305']"
1499758400,209,234,"['005', '036', '305']"
1499758400,209,1464,"['005', '036', '305']"
1499758400,209,1822,"['005', '036', '305']"
1499758400,512,719,"['005', '036', '305']"
1499758400,1159,1202,"['005', '036', '305']"
1499758400,1159,1401,"['005', '036', '305']"
1499758400,1202,1401,"['036', '305']"
1499758420,97,1159,"['005', '036']"
1499758420,97,1202,"['005', '036']"
1499758420,97,1401,"['005', '036']"
1499758440,209,1822,"['005', '011', '036', '154', '305']"
1499758440,1464,1822,"['005', '011', '036', '154', '305']"
1499758460,97,1159,"['005', '036', '078', '305']"
1499758460,97,1202,['078']
1499758460,209,1464,"['005', '011', '036', '305']"
1499758460,209,1822,"['005', '011', '036', '305']"
1499758460,334,797,['036']
1499758460,334,1080,['036']
1499758460,1159,1202,"['005', '036', '078', '305']"
1499758460,1202,1401,['078']
1499758480,97,1159,"['005', '036', '078', '154', '305']"
1499758480,97,1202,"['005', '036', '078', '154', '305']"
1499758480,97,1401,"['005', '036', '078', '154', '305']"
1499758480,209,1464,"['005', '011', '036', '305']"
1499758480,334,1887,"['005', '011', '036', '154', '305']"
1499758480,797,1887,"['005', '011', '036', '154', '305']"
1499758480,1464,1822,"['005', '011', '036', '305']"
1499758480,1464,1887,"['005', '011', '036', '154', '305']"
1499758500,209,1822,"['005', '036']"
1499758500,1464,1822,"['005', '036']"
1499758520,97,1159,"['005', '036', '305']"
1499758520,97,1202,"['036', '078', '305']"
1499758520,209,251,['036']
1499758520,209,1464,['036']
1499758520,209,1822,['036']
1499758520,1159,1202,"['005', '036', '078', '305']"
1499758520,1159,1401,"['005', '036', '305']"
1499758520,1202,1401,"['036', '078', '305']"
1499758540,8,1053,"['036', '154', '305']"
1499758540,15,874,['154']
1499758540,97,1159,"['005', '011', '036', '154', '305']"
1499758540,97,1202,"['005', '011', '036', '154', '305']"
1499758540,97,1401,"['005', '011', '036', '154', '305']"
1499758540,209,1464,"['005', '011', '036', '154', '305']"
1499758540,209,1887,"['005', '036']"
1499758540,318,1887,"['005', '036']"
1499758540,334,1464,"['005', '011', '036', '154', '305']"
1499758540,334,1887,"['005', '036']"
1499758540,500,579,"['005', '036']"
1499758540,797,1080,"['005', '036']"
1499758540,797,1464,"['005', '011', '036', '154', '305']"
1499758540,797,1887,"['005', '036']"
1499758540,1080,1464,"['005', '011', '036', '154', '305']"
1499758540,1080,1887,"['005', '036']"
1499758540,1464,1822,"['005', '011', '036', '154', '305']"
1499758540,1464,1887,"['005', '011', '036', '154', '305']"
1499758560,797,1080,"['005', '036', '305']"
1499758560,1080,1464,"['005', '036', '305']"
1499758560,1080,1887,"['005', '036', '305']"
1499758580,97,1159,"['005', '011', '036', '154', '305']"
1499758580,97,1202,['305']
1499758580,209,1080,"['005', '036']"
1499758580,209,1887,"['005', '036']"
1499758580,719,1079,"['005', '036', '305']"
1499758580,1159,1202,"['005', '011', '036', '154', '305']"
1499758580,1159,1401,"['005', '011', '036', '154', '305']"
1499758580,1202,1401,['305']
1499758600,97,1159,"['005', '011', '036']"
1499758600,97,1202,"['005', '011', '036']"
1499758600,97,1401,"['005', '011', '036']"
1499758620,557,708,"['015', '078']"
1499758620,797,1080,"['005', '036', '305']"
1499758620,1080,1464,"['005', '036', '305']"
1499758640,97,1159,"['005', '036']"
1499758640,97,1202,"['005', '036', '305']"
1499758640,209,1464,"['005', '011', '036', '305']"
1499758640,318,708,['078']
1499758640,557,708,['078']
1499758640,719,1079,"['005', '036']"
1499758640,1063,1818,"['005', '036', '305']"
1499758640,1159,1202,"['005', '036', '305']"
1499758640,1159,1401,"['005', '036']"
1499758640,1159,1818,"['005', '036', '305']"
1499758640,1202,1401,"['005', '036', '305']"
1499758660,8,1053,"['005', '036', '305']"
1499758660,97,120,['036']
1499758660,97,1159,['036']
1499758660,97,1202,['036']
1499758660,97,1401,['036']
1499758660,209,1464,"['005', '011', '036', '305']"
1499758680,97,120,"['005', '036']"
1499758680,120,234,"['005', '036']"
1499758680,120,1159,"['005', '036']"
1499758680,120,1202,"['005', '036']"
1499758680,120,1401,"['005', '036']"
1499758680,797,1080,"['005', '011', '036']"
1499758700,8,318,"['005', '011', '036', '154', '305']"
1499758700,8,1053,"['005', '011', '036', '154', '305']"
1499758700,8,1063,"['005', '011', '036', '154', '305']"
1499758700,97,1159,"['005', '036', '305']"
1499758700,97,1202,"['005', '036', '305']"
1499758700,120,1159,"['005', '036', '305']"
1499758700,120,1202,"['005', '036', '305']"
1499758700,134,1076,"['005', '036', '305']"
1499758700,209,1818,"['005', '011', '154', '305']"
1499758700,441,1159,"['005', '036', '305']"
1499758700,487,998,['154']
1499758700,512,719,"['005', '036']"
1499758700,544,1818,"['005', '011', '154', '305']"
1499758700,719,1079,"['005', '036']"
1499758700,1159,1401,"['005', '036', '305']"
1499758700,1202,1401,"['005', '036', '305']"
1499758700,1464,1818,"['005', '011', '154', '305']"
1499758720,8,1053,"['005', '011', '036', '305']"
1499758720,97,120,"['005', '036']"
1499758720,97,1159,"['005', '036']"
1499758720,97,1202,"['005', '036']"
1499758720,97,1401,"['005', '036']"
1499758720,209,1464,"['036', '305']"
1499758720,512,719,"['005', '036']"
1499758720,544,1464,"['036', '305']"
1499758720,1464,1818,"['036', '305']"
1499758740,32,441,"['005', '011', '036', '305']"
1499758740,797,1080,"['005', '011', '036', '305']"
1499758760,8,768,"['005', '011', '036', '154']"
1499758760,8,1053,"['005', '011', '036', '154']"
1499758760,8,1392,"['005', '011', '036', '154']"
1499758760,97,1202,"['005', '011', '036', '078', '305']"
1499758760,120,1202,"['005', '011', '036', '078', '305']"
1499758760,209,544,"['005', '011', '036', '082']"
1499758760,209,1464,"['005', '011', '036', '082']"
1499758760,209,1551,"['005', '011', '036', '082']"
1499758760,242,432,"['014', '294', '305']"
1499758760,318,557,"['005', '036', '305']"
1499758760,318,1063,"['005', '036', '305']"
1499758760,500,719,['036']
1499758760,512,719,['036']
1499758760,512,1063,"['005', '036', '305']"
1499758760,557,1063,"['005', '036', '305']"
1499758760,719,1063,"['005', '036', '305']"
1499758760,1202,1401,"['005', '011', '036', '078', '305']"
1499758780,8,1053,"['005', '305']"
1499758780,97,120,"['005', '036', '154', '305']"
1499758780,97,254,"['005', '036', '154', '305']"
1499758780,97,1159,"['005', '036', '154', '305']"
1499758780,97,1202,"['005', '036', '154', '305']"
1499758780,97,1401,"['005', '036', '154', '305']"
1499758780,97,1887,"['005', '036', '154', '305']"
1499758780,120,1401,['036']
1499758780,318,1401,['036']
1499758780,500,579,['305']
1499758780,500,1482,['305']
1499758780,737,1482,['036']
1499758780,1159,1401,['036']
1499758780,1202,1401,['036']
1499758800,8,254,"['005', '011', '015', '036', '154', '305']"
1499758800,32,441,['036']
1499758800,120,1159,"['005', '011', '036']"
1499758800,120,1401,"['005', '011', '036']"
1499758800,200,1076,"['005', '015', '036', '305']"
1499758800,254,441,"['005', '011', '015', '036', '154', '305']"
1499758800,254,1053,"['005', '011', '015', '036', '154', '305']"
1499758800,441,1887,['036']
1499758820,8,1053,"['005', '014', '036', '154', '305']"
1499758820,8,1818,"['005', '011', '014', '036', '078', '154', '305']"
1499758820,97,1202,"['005', '036', '305']"
1499758820,120,1159,"['005', '036']"
1499758820,209,334,"['005', '011', '036', '305']"
1499758820,209,544,"['005', '011', '036', '305']"
1499758820,209,1464,"['005', '011', '036', '305']"
1499758820,334,1052,"['005', '011', '036', '154', '305']"
1499758820,1052,1202,"['005', '011', '036', '154', '305']"
1499758820,1202,1401,"['005', '036', '305']"
1499758840,8,1053,"['005', '011', '036', '305']"
1499758840,97,1159,"['005', '036', '154']"
1499758840,97,1202,"['005', '036', '154']"
1499758840,97,1401,"['005', '036', '154']"
1499758840,512,719,['005']
1499758840,579,1482,"['036', '082']"
1499758860,32,441,"['005', '011', '036', '305']"
1499758860,120,1159,"['005', '036', '305']"
1499758860,120,1202,"['005', '036', '305']"
1499758860,120,1401,"['005', '036', '305']"
1499758860,579,741,"['036', '305']"
1499758860,741,1482,"['036', '305']"
1499758880,8,325,"['005', '011', '036', '154', '305']"
1499758880,8,1053,"['005', '011', '036', '154', '305']"
1499758880,97,1202,"['005', '036', '078', '305']"
1499758880,120,1159,"['005', '036', '305']"
1499758880,209,1464,"['005', '036', '082', '154']"
1499758880,325,1202,"['005', '036', '078', '305']"
1499758880,334,1052,"['005', '011', '036']"
1499758880,512,719,"['005', '036']"
1499758880,797,1080,"['005', '036']"
1499758880,1052,1401,"['005', '011', '036']"
1499758880,1202,1401,"['005', '036', '078', '305']"
1499758900,8,1053,"['011', '036', '154']"
1499758900,97,325,"['005', '036', '078', '305']"
1499758900,97,1202,"['005', '036', '078', '305']"
1499758900,97,1401,"['005', '036', '078', '305']"
1499758900,512,719,['036']
1499758900,1076,1482,"['005', '036', '154']"
1499758920,32,441,"['011', '305']"
1499758920,46,1887,"['011', '015', '036', '305']"
1499758920,120,741,"['005', '036', '082', '305']"
1499758920,120,1159,"['005', '036']"
1499758920,272,741,"['005', '036', '082', '305']"
1499758920,454,1076,['036']
1499758920,1312,1887,"['011', '015', '036', '305']"
1499758920,1551,1617,"['005', '036']"
1499758940,8,1053,"['005', '011', '036', '154', '305']"
1499758940,97,1202,"['005', '036', '078', '154']"
1499758940,120,1159,"['005', '036', '305']"
1499758940,120,1856,"['005', '036', '154', '305']"
1499758940,209,1464,"['005', '011', '036', '305']"
1499758940,579,710,"['005', '036', '305']"
1499758940,579,1076,"['005', '036', '305']"
1499758940,579,1482,"['005', '036', '082', '305']"
1499758940,741,1159,"['005', '036', '305']"
1499758940,1076,1482,"['005', '036', '082']"
1499758940,1159,1856,"['005', '036', '154', '305']"
1499758940,1202,1401,"['005', '036', '078', '154']"
1499758960,97,1159,"['005', '036', '082', '154', '305']"
1499758960,97,1202,"['005', '036', '082', '154', '305']"
1499758960,97,1401,"['005', '036', '082', '154', '305']"
1499758960,512,741,"['005', '036']"
1499758980,8,480,"['005', '011', '036']"
1499758980,49,272,"['036', '082']"
1499758980,272,579,"['036', '082']"
1499758980,272,1482,"['036', '082']"
1499758980,334,1887,"['036', '305']"
1499758980,454,480,"['005', '011', '036']"
1499758980,1076,1684,"['005', '011', '036', '305']"
1499759000,97,1202,"['005', '011', '036', '078']"
1499759000,120,1159,"['005', '011', '036', '078']"
1499759000,120,1856,"['005', '036']"
1499759000,209,1464,"['005', '011', '036', '305']"
1499759000,500,579,"['005', '011', '036']"
1499759000,500,583,['036']
1499759000,500,1482,['036']
1499759000,579,583,"['005', '011', '036']"
1499759000,579,710,"['005', '011', '036']"
1499759000,782,1159,"['005', '011', '036', '078']"
1499759000,1076,1684,"['005', '011', '036', '305']"
1499759000,1159,1401,"['005', '011', '036', '078']"
1499759000,1202,1401,"['005', '011', '036', '078']"
1499759020,97,1159,"['005', '036', '154', '305']"
1499759020,97,1202,"['005', '036', '154', '305']"
1499759020,97,1401,"['005', '036', '154', '305']"
1499759020,325,768,"['005', '011', '036', '082']"
1499759020,487,998,['154']
1499759020,1551,1822,"['005', '036']"
1499759040,120,387,['005']
1499759040,120,1159,['005']
1499759040,120,1401,['005']
1499759040,272,1482,"['036', '082']"
1499759040,325,768,['036']
1499759060,97,1202,"['011', '036']"
1499759060,120,1202,"['011', '036']"
1499759060,120,1856,"['005', '011', '036']"
1499759060,242,432,"['011', '294', '305']"
1499759060,387,1856,"['005', '011', '036']"
1499759060,579,710,['036']
1499759060,710,1076,['036']
1499759060,782,1080,"['036', '305']"
1499759060,1052,1822,"['005', '011', '036', '154']"
1499759060,1202,1401,"['011', '036']"
1499759060,1401,1856,"['005', '011', '036']"
1499759080,30,1482,['036']
1499759080,97,120,"['005', '036', '154']"
1499759080,97,544,"['005', '036', '154']"
1499759080,97,1202,"['005', '036', '154']"
1499759080,97,1401,"['005', '036', '154']"
1499759080,97,1856,"['005', '036', '154']"
1499759080,147,1818,"['005', '011', '154', '305']"
1499759080,209,461,"['005', '011', '036', '305']"
1499759080,325,461,"['005', '011', '036', '305']"
1499759080,325,1401,['011']
1499759080,461,768,"['005', '011', '036', '305']"
1499759080,491,579,"['036', '305']"
1499759080,491,1076,"['036', '305']"
1499759080,512,719,"['005', '011', '036']"
1499759080,512,1684,"['005', '011', '036']"
1499759100,8,1053,"['005', '011', '036', '305']"
1499759100,491,1076,['036']
1499759100,512,1684,"['036', '305']"
1499759100,579,710,"['011', '036']"
1499759100,710,1076,['036']
1499759120,8,1053,"['005', '011', '014', '036', '154', '305']"
1499759120,97,1202,"['036', '305']"
1499759120,120,1202,"['036', '305']"
1499759120,454,480,['305']
1499759120,649,1822,"['005', '011', '036', '154', '305']"
1499759120,782,1080,['036']
1499759120,1080,1392,['036']
1499759120,1202,1401,"['036', '305']"
1499759140,97,1202,"['005', '036']"
1499759140,97,1401,"['005', '036']"
1499759140,209,1464,"['005', '011', '036', '082', '305']"
1499759140,209,1887,"['005', '011', '036', '082', '305']"
1499759140,512,719,"['005', '036', '305']"
1499759140,649,1822,"['005', '154']"
1499759140,737,1482,['036']
1499759160,18,1482,"['005', '036']"
1499759160,45,242,"['005', '036']"
1499759160,147,649,"['005', '036']"
1499759160,147,903,"['005', '036']"
1499759160,147,1052,"['005', '036']"
1499759160,209,1464,"['005', '036', '082', '305']"
1499759160,454,480,"['036', '305']"
1499759160,579,1076,"['036', '305']"
1499759180,32,1202,"['005', '036', '154']"
1499759180,97,1202,"['005', '036', '154']"
1499759180,97,1856,"['036', '082']"
1499759180,147,649,"['005', '011', '036', '154']"
1499759180,502,782,"['005', '036']"
1499759180,649,1052,"['005', '011', '036', '154']"
1499759180,649,1822,"['005', '011', '036', '154']"
1499759180,1202,1401,"['005', '036', '154']"
1499759180,1202,1856,"['005', '036', '082', '154']"
1499759180,1392,1617,"['005', '011', '036']"
1499759180,1401,1856,"['036', '082']"
1499759180,1464,1617,"['005', '011', '036']"
1499759200,209,1464,"['005', '011', '036', '305']"
1499759200,512,719,"['005', '011', '036']"
1499759200,649,1822,"['005', '036', '154']"
1499759200,710,1412,"['005', '036', '305']"
1499759200,1076,1412,"['005', '036', '305']"
1499759220,8,1053,"['005', '036', '154', '305']"
